# Data file contents: Daily temperatures (mean, min, max) for Tirana, Albania
#                     for June 1-30, 2016
# Data source: https://www.ncdc.noaa.gov/cdo-web/search?datasetid=GHCND
# Data processing: Extracted temperatures from raw data file, converted to
#                  comma-separated format
#
# Endri Raco - 24.04.2024

YEAR,TEMP,MAX,MIN
20160601,18.4,23.6,13.1
20160602,19.7,26.2,13.6
20160603,20.0,,14.0
20160604,14.8,21.2,8.7
20160605,11.3,15.1,6.8
20160606,11.7,16.2,6.5
20160607,14.1,19.0,7.8
20160608,12.6,,9.0
20160609,10.3,13.1,8.1
20160610,10.4,13.5,6.4
20160611,12.8,16.9,5.7
20160612,13.8,18.5,7.0
20160613,15.3,20.4,8.7
20160614,16.1,20.4,9.3
20160615,17.9,21.7,9.9
20160616,14.9,20.1,13.4
20160617,16.3,21.4,13.8
20160618,14.8,,12.9
20160619,14.2,15.4,12.6
20160620,15.2,20.9,11.2
20160621,16.5,22.2,10.7
20160622,16.0,21.6,13.5
20160623,15.5,19.9,13.1
20160624,15.6,20.3,14.1
20160625,19.2,24.6,14.9
20160626,21.2,25.7,16.2
20160627,15.9,21.1,
20160628,19.7,22.8,13.3
20160629,19.9,22.9,
20160630,19.8,22.6,15.1
